Date,Product_ID,Product_Name,Category,Supplier,Units_In_Stock,Units_Sold,Reorder_Level,Unit_Cost,Selling_Price,Profit_Margin,Storage_Location,Expiry_Date,Seasonal_Demand,Promotion_Status,Customer_Rating,Return_Rate
2024-04-04,PRD-5007,Yoga Mat,Sports,Health First,111,11,29,92.19,167.26,44.88,Backroom,N/A,6,Seasonal Sale,3.9,4.7
2024-05-01,PRD-5007,Yoga Mat,Sports,Health First,80,2,27,92.19,167.26,44.88,Warehouse B,N/A,6,No Promotion,3.8,3.0
2024-06-19,PRD-5007,Yoga Mat,Sports,Health First,61,21,16,92.19,167.26,44.88,Warehouse B,N/A,7,No Promotion,4.1,2.0
2024-07-05,PRD-5007,Yoga Mat,Sports,Health First,148,5,45,92.19,167.26,44.88,Store Floor,N/A,7,BOGO,3.6,7.3
2024-01-08,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,91,11,33,5.12,8.24,37.86,Store Floor,2024-03-19,5,Clearance Sale,4.6,2.6
2024-02-08,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,171,29,59,5.12,8.24,37.86,Store Floor,2024-05-09,5,Discount 20%,4.9,2.2
2024-03-01,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,441,30,141,5.12,8.24,37.86,Store Floor,2025-07-25,5,Discount 20%,3.3,1.7
2024-04-02,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,211,48,85,5.12,8.24,37.86,Store Floor,2024-10-26,5,No Promotion,4.9,2.4
2024-05-19,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,82,24,27,5.12,8.24,37.86,Warehouse C,2024-09-21,5,Clearance Sale,3.8,2.5
2024-06-15,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,19,45,14,5.12,8.24,37.86,Store Floor,2024-10-07,5,No Promotion,4.3,1.7
2024-07-02,PRD-5008,Protein Bar,Food & Beverages,Fashion Forward Ltd,54,28,17,5.12,8.24,37.86,Warehouse A,2025-09-03,5,Buy 2 Get 1,4.5,1.0
2024-01-05,PRD-5009,Laptop,Electronics,Home Essentials Inc,55,10,15,647.13,1134.51,42.96,Store Floor,N/A,9,BOGO,4.5,3.0
2024-02-16,PRD-5009,Laptop,Electronics,Home Essentials Inc,68,14,23,647.13,1134.51,42.96,Outdoor Storage,N/A,5,No Promotion,4.4,4.4
2024-03-03,PRD-5009,Laptop,Electronics,Home Essentials Inc,44,17,10,647.13,1134.51,42.96,Backroom,N/A,5,Discount 20%,4.7,4.7
2024-04-08,PRD-5009,Laptop,Electronics,Home Essentials Inc,40,9,8,647.13,1134.51,42.96,Backroom,N/A,5,No Promotion,3.3,6.0
2024-05-19,PRD-5009,Laptop,Electronics,Home Essentials Inc,69,1,17,647.13,1134.51,42.96,Cold Storage,N/A,5,Buy 2 Get 1,4.7,11.0
2024-06-15,PRD-5009,Laptop,Electronics,Home Essentials Inc,71,14,16,647.13,1134.51,42.96,Cold Storage,N/A,5,Buy 2 Get 1,4.2,5.4
2024-06-29,PRD-5009,Laptop,Electronics,Home Essentials Inc,93,6,22,647.13,1134.51,42.96,Outdoor Storage,N/A,5,Discount 20%,3.9,10.8
2024-01-24,PRD-5010,Educational Toy,Toys,Health First,30,7,10,43.73,110.93,60.57,Store Floor,N/A,5,Seasonal Sale,4.5,3.3
2024-01-31,PRD-5010,Educational Toy,Toys,Health First,130,19,43,43.73,110.93,60.57,Store Floor,N/A,5,No Promotion,3.7,5.2
2024-03-20,PRD-5010,Educational Toy,Toys,Health First,121,4,34,43.73,110.93,60.57,Warehouse C,N/A,5,Buy 2 Get 1,4.0,2.5
2024-04-21,PRD-5010,Educational Toy,Toys,Health First,37,8,13,43.73,110.93,60.57,Warehouse A,N/A,5,No Promotion,3.5,1.1
2024-05-25,PRD-5010,Educational Toy,Toys,Health First,44,8,10,43.73,110.93,60.57,Warehouse A,N/A,5,BOGO,4.0,6.9
2024-05-31,PRD-5010,Educational Toy,Toys,Health First,18,17,10,43.73,110.93,60.57,Cold Storage,N/A,5,No Promotion,4.4,5.1
2024-07-17,PRD-5010,Educational Toy,Toys,Health First,63,2,15,43.73,110.93,60.57,Store Floor,N/A,5,Seasonal Sale,4.0,2.5
2024-01-11,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,199,30,71,6.27,8.24,23.89,Backroom,2024-09-09,5,No Promotion,4.6,2.6
2024-01-31,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,449,24,110,6.27,8.24,23.89,Warehouse A,2025-06-23,5,Clearance Sale,4.3,0.6
2024-03-18,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,442,14,155,6.27,8.24,23.89,Store Floor,2025-06-05,5,Seasonal Sale,3.8,1.2
2024-04-25,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,410,12,144,6.27,8.24,23.89,Warehouse A,2026-02-07,5,No Promotion,3.6,1.4
2024-05-06,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,132,17,28,6.27,8.24,23.89,Warehouse A,2025-06-17,5,Discount 20%,4.4,1.3
2024-06-13,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,456,28,121,6.27,8.24,23.89,Warehouse B,2026-03-06,5,No Promotion,3.8,2.3
2024-07-05,PRD-5011,Protein Bar,Food & Beverages,Home Essentials Inc,212,26,63,6.27,8.24,23.89,Warehouse A,2025-01-02,5,Seasonal Sale,3.3,1.6
2024-01-16,PRD-5012,Lipstick,Beauty,TechSupply Co,15,39,13,98.23,371.98,73.59,Warehouse A,2024-08-02,5,Discount 20%,4.5,3.6
2024-02-02,PRD-5012,Lipstick,Beauty,TechSupply Co,24,24,7,98.23,371.98,73.59,Store Floor,2024-07-06,5,Buy 2 Get 1,4.1,2.4
2024-03-09,PRD-5012,Lipstick,Beauty,TechSupply Co,30,8,9,98.23,371.98,73.59,Warehouse A,2025-06-25,5,Clearance Sale,3.7,3.5
2024-04-08,PRD-5012,Lipstick,Beauty,TechSupply Co,115,14,40,98.23,371.98,73.59,Outdoor Storage,2026-02-14,5,BOGO,3.7,7.2
2024-05-20,PRD-5012,Lipstick,Beauty,TechSupply Co,0,34,8,98.23,371.98,73.59,Backroom,2025-02-14,5,Buy 2 Get 1,4.9,4.8
2024-06-15,PRD-5012,Lipstick,Beauty,TechSupply Co,67,33,26,98.23,371.98,73.59,Outdoor Storage,2024-12-22,5,Clearance Sale,4.6,3.0
2024-07-07,PRD-5012,Lipstick,Beauty,TechSupply Co,99,45,33,98.23,371.98,73.59,Outdoor Storage,2025-05-14,5,No Promotion,3.4,5.7
2024-01-10,PRD-5013,Jacket,Clothing,Health First,152,4,38,97.86,196.23,50.13,Warehouse C,N/A,8,Discount 20%,3.1,9.9
2024-01-31,PRD-5013,Jacket,Clothing,Health First,140,2,36,97.86,196.23,50.13,Cold Storage,N/A,9,No Promotion,4.9,3.6
2024-03-18,PRD-5013,Jacket,Clothing,Health First,11,15,7,97.86,196.23,50.13,Backroom,N/A,5,Seasonal Sale,4.9,11.9
2024-04-16,PRD-5013,Jacket,Clothing,Health First,100,24,22,97.86,196.23,50.13,Warehouse C,N/A,5,Seasonal Sale,4.9,11.8
2024-05-23,PRD-5013,Jacket,Clothing,Health First,145,16,43,97.86,196.23,50.13,Warehouse A,N/A,5,No Promotion,3.2,5.1
2024-06-10,PRD-5013,Jacket,Clothing,Health First,109,17,23,97.86,196.23,50.13,Warehouse C,N/A,5,Buy 2 Get 1,4.1,10.8
2024-07-21,PRD-5013,Jacket,Clothing,Health First,105,3,21,97.86,196.23,50.13,Warehouse C,N/A,5,No Promotion,3.5,5.6
2024-01-20,PRD-5014,Jeans,Clothing,Sports World,156,11,49,32.4,76.13,57.43,Warehouse B,N/A,7,No Promotion,4.6,4.6
2024-02-20,PRD-5014,Jeans,Clothing,Sports World,154,25,42,32.4,76.13,57.43,Warehouse B,N/A,5,Buy 2 Get 1,3.5,9.6
2024-03-16,PRD-5014,Jeans,Clothing,Sports World,85,22,16,32.4,76.13,57.43,Warehouse C,N/A,5,No Promotion,4.4,8.8
2024-04-23,PRD-5014,Jeans,Clothing,Sports World,164,5,37,32.4,76.13,57.43,Warehouse C,N/A,5,No Promotion,3.4,4.9
2024-05-02,PRD-5014,Jeans,Clothing,Sports World,110,11,29,32.4,76.13,57.43,Warehouse B,N/A,5,Clearance Sale,4.9,11.8
2024-06-20,PRD-5014,Jeans,Clothing,Sports World,0,29,5,32.4,76.13,57.43,Warehouse B,N/A,5,Clearance Sale,4.9,6.6
2024-07-02,PRD-5014,Jeans,Clothing,Sports World,20,9,9,32.4,76.13,57.43,Backroom,N/A,5,No Promotion,4.2,10.8
2024-01-11,PRD-5015,Nail Polish,Beauty,Health First,110,28,47,58.49,202.19,71.07,Warehouse C,2024-07-14,5,Seasonal Sale,4.4,7.7
2024-02-05,PRD-5015,Nail Polish,Beauty,Health First,43,43,20,58.49,202.19,71.07,Warehouse C,2025-11-28,5,BOGO,4.6,7.5
2024-03-19,PRD-5015,Nail Polish,Beauty,Health First,40,18,9,58.49,202.19,71.07,Warehouse C,2025-12-08,5,BOGO,3.3,5.1
2024-04-10,PRD-5015,Nail Polish,Beauty,Health First,6,32,12,58.49,202.19,71.07,Backroom,2024-06-23,5,No Promotion,3.7,5.3
2024-05-24,PRD-5015,Nail Polish,Beauty,Health First,0,44,7,58.49,202.19,71.07,Backroom,2025-03-23,5,No Promotion,4.3,2.0
2024-06-19,PRD-5015,Nail Polish,Beauty,Health First,99,8,22,58.49,202.19,71.07,Outdoor Storage,2024-11-07,5,No Promotion,3.6,7.9
2024-07-01,PRD-5015,Nail Polish,Beauty,Health First,44,34,19,58.49,202.19,71.07,Outdoor Storage,2025-02-10,5,No Promotion,3.1,6.9
2024-01-07,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,401,9,131,57.88,111.39,48.04,Store Floor,2024-10-20,5,No Promotion,4.8,1.5
2024-02-15,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,468,27,162,57.88,111.39,48.04,Store Floor,2024-07-24,5,Seasonal Sale,3.5,2.5
2024-03-19,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,44,9,9,57.88,111.39,48.04,Cold Storage,2024-11-21,5,Discount 20%,3.5,1.5
2024-04-15,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,109,21,30,57.88,111.39,48.04,Warehouse A,2025-05-03,5,No Promotion,3.7,2.3
2024-05-24,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,224,20,39,57.88,111.39,48.04,Outdoor Storage,2025-03-04,5,Buy 2 Get 1,3.6,1.2
2024-06-17,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,372,26,91,57.88,111.39,48.04,Outdoor Storage,2026-06-16,5,No Promotion,4.3,1.6
2024-07-16,PRD-5016,Blood Pressure Monitor,Health,Food Source Ltd,365,13,67,57.88,111.39,48.04,Store Floor,2025-09-28,5,BOGO,4.8,2.1
2024-01-14,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,54,7,14,12.38,29.11,57.47,Outdoor Storage,N/A,5,No Promotion,4.3,5.3
2024-02-09,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,34,20,8,12.38,29.11,57.47,Warehouse B,N/A,5,Seasonal Sale,4.3,5.4
2024-03-02,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,15,10,7,12.38,29.11,57.47,Cold Storage,N/A,5,No Promotion,3.1,5.0
2024-04-14,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,39,16,12,12.38,29.11,57.47,Cold Storage,N/A,5,Clearance Sale,3.9,1.3
2024-05-18,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,5,5,2,12.38,29.11,57.47,Backroom,N/A,5,No Promotion,4.3,3.5
2024-06-09,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,56,10,22,12.38,29.11,57.47,Warehouse B,N/A,5,Discount 20%,4.5,2.9
2024-07-17,PRD-5017,Tire Gauge,Automotive,Fashion Forward Ltd,7,10,2,12.38,29.11,57.47,Outdoor Storage,N/A,5,Clearance Sale,3.8,7.8
2024-01-24,PRD-5018,Monitor,Electronics,Health First,5,7,4,630.36,876.62,28.09,Outdoor Storage,N/A,7,Clearance Sale,5.0,6.5
2024-02-16,PRD-5018,Monitor,Electronics,Health First,57,14,16,630.36,876.62,28.09,Backroom,N/A,5,Seasonal Sale,3.2,9.9
2024-03-24,PRD-5018,Monitor,Electronics,Health First,12,2,4,630.36,876.62,28.09,Warehouse A,N/A,5,Clearance Sale,3.5,6.0
2024-04-16,PRD-5018,Monitor,Electronics,Health First,31,10,11,630.36,876.62,28.09,Warehouse B,N/A,5,No Promotion,4.6,10.2
2024-05-11,PRD-5018,Monitor,Electronics,Health First,38,18,13,630.36,876.62,28.09,Warehouse C,N/A,5,No Promotion,4.2,11.0
2024-06-08,PRD-5018,Monitor,Electronics,Health First,2,17,4,630.36,876.62,28.09,Store Floor,N/A,5,BOGO,4.2,6.1
2024-07-20,PRD-5018,Monitor,Electronics,Health First,13,19,6,630.36,876.62,28.09,Warehouse B,N/A,5,Seasonal Sale,3.7,3.8
2024-01-21,PRD-5019,Air Freshener,Automotive,Toy Universe,93,2,25,109.53,199.34,45.05,Store Floor,N/A,5,No Promotion,3.6,6.6
2024-02-19,PRD-5019,Air Freshener,Automotive,Toy Universe,50,8,10,109.53,199.34,45.05,Warehouse B,N/A,5,No Promotion,3.4,5.1
2024-03-09,PRD-5019,Air Freshener,Automotive,Toy Universe,26,19,13,109.53,199.34,45.05,Warehouse C,N/A,5,Clearance Sale,3.4,2.6
2024-04-05,PRD-5019,Air Freshener,Automotive,Toy Universe,36,19,15,109.53,199.34,45.05,Warehouse A,N/A,5,BOGO,3.9,7.3
2024-04-30,PRD-5019,Air Freshener,Automotive,Toy Universe,22,8,7,109.53,199.34,45.05,Outdoor Storage,N/A,5,BOGO,3.9,4.3
2024-05-31,PRD-5019,Air Freshener,Automotive,Toy Universe,11,5,3,109.53,199.34,45.05,Outdoor Storage,N/A,5,BOGO,3.4,5.4
2024-07-19,PRD-5019,Air Freshener,Automotive,Toy Universe,0,19,3,109.53,199.34,45.05,Cold Storage,N/A,5,Clearance Sale,3.5,7.9
2024-01-15,PRD-5020,Building Blocks,Toys,TechSupply Co,80,20,24,75.71,153.21,50.59,Cold Storage,N/A,5,No Promotion,4.8,5.4
2024-02-24,PRD-5020,Building Blocks,Toys,TechSupply Co,133,4,32,75.71,153.21,50.59,Backroom,N/A,5,Clearance Sale,3.1,1.4
2024-03-03,PRD-5020,Building Blocks,Toys,TechSupply Co,34,28,20,75.71,153.21,50.59,Outdoor Storage,N/A,5,No Promotion,3.0,3.7
2024-04-03,PRD-5020,Building Blocks,Toys,TechSupply Co,10,18,5,75.71,153.21,50.59,Outdoor Storage,N/A,5,Clearance Sale,4.9,6.2
2024-05-04,PRD-5020,Building Blocks,Toys,TechSupply Co,93,16,20,75.71,153.21,50.59,Warehouse A,N/A,5,No Promotion,3.3,1.3
2024-06-14,PRD-5020,Building Blocks,Toys,TechSupply Co,103,30,21,75.71,153.21,50.59,Cold Storage,N/A,5,BOGO,3.3,7.9
2024-07-09,PRD-5020,Building Blocks,Toys,TechSupply Co,12,12,6,75.71,153.21,50.59,Warehouse A,N/A,5,Buy 2 Get 1,3.6,6.0
2024-01-14,PRD-5021,Dress,Clothing,Food Source Ltd,116,26,31,105.4,301.54,65.05,Backroom,N/A,6,No Promotion,3.2,11.3
2024-02-18,PRD-5021,Dress,Clothing,Food Source Ltd,55,5,10,105.4,301.54,65.05,Store Floor,N/A,5,Seasonal Sale,4.4,6.1
2024-03-17,PRD-5021,Dress,Clothing,Food Source Ltd,65,16,25,105.4,301.54,65.05,Warehouse A,N/A,5,Discount 20%,3.5,11.5
2024-04-25,PRD-5021,Dress,Clothing,Food Source Ltd,122,28,51,105.4,301.54,65.05,Warehouse C,N/A,5,Clearance Sale,4.4,9.1
2024-05-18,PRD-5021,Dress,Clothing,Food Source Ltd,53,23,18,105.4,301.54,65.05,Backroom,N/A,5,Seasonal Sale,4.1,10.8
2024-06-10,PRD-5021,Dress,Clothing,Food Source Ltd,79,16,22,105.4,301.54,65.05,Backroom,N/A,5,Discount 20%,3.1,11.2
2024-07-07,PRD-5021,Dress,Clothing,Food Source Ltd,168,13,62,105.4,301.54,65.05,Cold Storage,N/A,5,Discount 20%,3.5,10.4
2024-01-14,PRD-5022,Wiper Blades,Automotive,Sports World,42,11,14,36.76,79.46,53.74,Warehouse C,N/A,5,Clearance Sale,3.1,6.8
2024-02-10,PRD-5022,Wiper Blades,Automotive,Sports World,74,20,32,36.76,79.46,53.74,Warehouse A,N/A,5,Buy 2 Get 1,3.1,4.8
2024-03-11,PRD-5022,Wiper Blades,Automotive,Sports World,1,16,5,36.76,79.46,53.74,Store Floor,N/A,5,No Promotion,4.3,1.7
2024-04-16,PRD-5022,Wiper Blades,Automotive,Sports World,10,15,6,36.76,79.46,53.74,Store Floor,N/A,5,No Promotion,3.4,5.7
2024-05-02,PRD-5022,Wiper Blades,Automotive,Sports World,20,11,6,36.76,79.46,53.74,Outdoor Storage,N/A,5,No Promotion,3.8,6.8
2024-06-24,PRD-5022,Wiper Blades,Automotive,Sports World,78,19,28,36.76,79.46,53.74,Backroom,N/A,5,No Promotion,3.8,5.3
2024-07-17,PRD-5022,Wiper Blades,Automotive,Sports World,78,2,19,36.76,79.46,53.74,Backroom,N/A,5,Seasonal Sale,3.5,3.5
2024-01-12,PRD-5023,Bedding,Home & Garden,Beauty Brands,80,12,20,122.22,235.62,48.13,Warehouse C,N/A,5,Clearance Sale,3.7,1.1
2024-02-09,PRD-5023,Bedding,Home & Garden,Beauty Brands,127,16,43,122.22,235.62,48.13,Store Floor,N/A,5,Clearance Sale,5.0,1.7
2024-03-15,PRD-5023,Bedding,Home & Garden,Beauty Brands,112,3,37,122.22,235.62,48.13,Cold Storage,N/A,5,Buy 2 Get 1,4.0,5.9
2024-04-11,PRD-5023,Bedding,Home & Garden,Beauty Brands,75,30,18,122.22,235.62,48.13,Warehouse A,N/A,7,No Promotion,4.1,1.2
2024-05-17,PRD-5023,Bedding,Home & Garden,Beauty Brands,13,29,13,122.22,235.62,48.13,Outdoor Storage,N/A,7,No Promotion,4.1,5.9
2024-06-09,PRD-5023,Bedding,Home & Garden,Beauty Brands,66,20,22,122.22,235.62,48.13,Backroom,N/A,8,BOGO,3.8,6.8
2024-07-21,PRD-5023,Bedding,Home & Garden,Beauty Brands,123,26,38,122.22,235.62,48.13,Warehouse A,N/A,6,Clearance Sale,3.3,3.7
2024-01-18,PRD-5024,Nuts,Food & Beverages,Food Source Ltd,215,39,53,9.5,18.67,49.1,Warehouse C,2024-12-31,5,BOGO,3.6,1.0
